Empresa,Años Experiencia,Email,Estado,Facturación Estimada,Notas,Notas Investigación,Presencia Digital,Prioridad,Provincia/País,Score ModulorIA,Tamaño Estimado,Teléfono,Ubicación,Web,Certificaciones,Sector,LinkedIn,Facebook,Instagram,Sector Específico,Fecha Primer Contacto,Servicios Potenciales,YouTube,Twitter/X,Última Interacción
ABC Pavilloner,,info@abcpavilloner.dk,🆕 Sin Contactar,,Especialistas en pavillones prefabricados y módulos,"ABC PAVILLONER - ⚠️ EMPRESA DANESA (Dinamarca), NO española. Especialistas PABELLONES Y MÓDULOS INDUSTRIALES/COMERCIALES. Productos: Módulos oficina, almacenes, talleres, gasolineras, kioscos, guarderías, instalaciones temporales. Construcción ligera tecnología modular. Sistema flexible adaptable. NO viviendas residenciales modulares. Parte Dansk ABC Holding ApS. Fundada 1999. Trustpilot: 3.7/5 valoración. Target: Empresas necesitando espacios modulares temporales/permanentes uso comercial/industrial. Mercado: Principalmente Dinamarca y países nórdicos.",✅ Buena,💤 Baja,Dinamarca,⭐ Bajo Fit,🏪 Pequeña (5-20 empleados),+45 86 81 26 30,Dinamarca,abcpavilloner.dk,,,,,,,,,,,
Lançois Doval Baleares,,web@lancoisdoval.es,❌ Descartado,,Líder construcción industrializada modular,"LANÇOIS DOVAL BALEARES - Misma información: http://lancoisdoval.es es PORTAL INMOBILIARIO LUJO, NO empresa construcción modular. Portal web comercialización propiedades prestigiosas. NO constructora. ⚠️ Clasificación INCORRECTA - NO sector construcción modular.",✅ Buena,💤 Baja,Baleares,,🏠 Micro (<5 empleados),,Baleares,lancoisdoval.es,,,,,,,,,,,
Creativa Modular,4,,🆕 Sin Contactar,,,3 empleados. Fundada 2021. LinkedIn 46 seguidores. Empresa nueva.,⚠️ Regular,💤 Baja,Sevilla,⭐⭐ Fit Medio,🏠 Micro (<5 empleados),,Sevilla,https://creativamodular.es,,"Modular Madera, Prefabricadas",,,,"Madera, Residencial",,Marketing Digital,,,
ABC Modular,,,🆕 Sin Contactar,,,"ABC MODULAR (ABC ARQUITECTURA MODULAR) - Construcción industrializada Valencia. Sede: Polígono Cap de L'Horta, Pobla de Vallbona, Valencia. Web: http://abcmodular.com. +3.000 M² INSTALACIONES (2 naves industriales con puentes grúa, plegadoras, cizalla, equipos soldadura TIG/MIG, tronzadoras). +26.000 M² CAMPAS para productos terminados. ESPECIALISTAS: arquitectos, ingenieros, promotores. Servicios: construcciones industrializadas, arquitectura sostenible, instalaciones industriales, vestuarios prefabricados. Proyectos educativos, sanitarios, self-storage, ocio/restauración, aeroportuario. CONTACTO: Solo formulario web - Trabaja con nosotros activo. Target: B2B proyectos grandes escala.",⚠️ Regular,🔥 Alta,Valencia,⭐⭐⭐⭐ Muy Buen Fit,❓ Desconocido,,"Polígono Cap de L'Horta, Pobla de Vallbona, Valencia",https://abcmodular.es,,"Modular Acero, Prefabricadas",,,,"Acero/Steel Frame, Industrial, Residencial",,Marketing Digital,,,
Pool & Modul,,,🆕 Sin Contactar,,Casetas modulares y casas prefabricadas,Pool & Modul - Contacto verificado en web oficial: Tel. 691 467 524 y WhatsApp (link directo desde la web). No se encontraron enlaces a redes sociales en la página principal revisada.,,⭐ Media,Alicante,,,691 467 524,Alicante,poolandmodul.com,,,,,,,,,,,
DK Modular Systems,,sales@dkmodularsystems.com,🆕 Sin Contactar,,Soluciones prefabricadas globales. Turnkey,,,🔥 Alta,Dinamarca,,,45 96 79 36 70,9310 Vodskov,dkmodularsystems.com,,,,,,,,,,,
Casas Modulares Modernas,,,🆕 Sin Contactar,,"Diseño, fabricación y construcción. Proyectos en Toledo","CASAS MODULARES MODERNAS - Contacto verificado en web oficial: Tel. 634 137 213. En la cabecera de la web figuran iconos de Facebook/Twitter/YouTube (links no visibles en la captura), y tienen casas piloto en Talavera de la Reina (Toledo) y Rivas-Vaciamadrid (Madrid).",,⭐ Media,Toledo,,,634 137 213,"Cazalegas, Toledo",casasmodularesmodernas.com,,,,,,,,,,,
Arquima Mallorca,,info@arquima.net,🆕 Sin Contactar,,Casas modulares. Alta calidad. Eficiencia energética,"ARQUIMA MALLORCA - Posible delegación/proyecto Mallorca de ARQUIMA Barcelona. Empresa especializada construcción industrializada modular estructura madera. Sistemas SEA y Ca2d. Experiencia construcción modular. Viviendas, oficinas, educación, senior/student housing. Construcción sostenible madera. Diseños arquitectos. Proceso fábrica + montaje. Target: Mercado Baleares (Mallorca) construcción modular industrializada.",✅ Buena,⭐ Media,Baleares,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),936 821 006,Mallorca,arquima.net,,,,,,,,,,,
Europa Prefabri,,,🆕 Sin Contactar,,"ALQUILER Y VENTA casetas obra, módulos, sanitarios portátiles, contenedores. +30 años. NO residencial.","EUROPA PREFABRI - ALQUILER Y VENTA construcciones modulares. Tel: 915 593 625. Web: http://europa-prefabri.com. +30 AÑOS experiencia. Certificaciones CALIDAD y GESTIÓN AMBIENTAL. Servicios: CASETAS DE OBRA, MÓDULOS PREFABRICADOS, SANITARIOS PORTÁTILES, CONTENEDORES ALMACÉN, VALLAS DE OBRA. Transporte e instalación incluidos. Asistencia postventa y servicio técnico. Financiación disponible (alquiler opción compra, renting, leasing). ⚠️ NOTA: Enfocados sector OBRA/INDUSTRIAL, NO viviendas residenciales. BAJO FIT para ModulorIA. Target: Constructoras, obras civiles.",✅ Buena,💤 Baja,Sevilla,⭐⭐ Fit Medio,🏬 Mediana (20-50 empleados),915 593 625,"Las Rozas, Madrid",europa-prefabri.com,,,,,,,,,,,
Europa Prefabri,,international@europa-prefabri.com,🆕 Sin Contactar,,Alquiler y venta construcciones modulares,"Europa Prefabri - Contacto y redes verificados en web oficial: HQ Madrid (Las Rozas). Tel +34 91 559 36 25. Email mailto:international@europa-prefabri.com. Redes enlazadas en la página de contacto: Facebook, Instagram, LinkedIn, YouTube y X.",,⭐ Media,Alicante,,,91 559 36 25,"Barrio Granada, 03699 Alicante",europa-prefabri.com,,,https://www.linkedin.com/company/europa-prefabri/,https://www.facebook.com/europaprefabri,https://www.instagram.com/europaprefabri,,,,https://www.youtube.com/@europaprefabri,https://x.com/europaprefabri,
